name,tessellate,WKT
"lake6","true","POLYGON Z ((-9.726251119494687 52.00410928802155 0, -9.729091774561788 52.00342566958115 0, -9.730970452045888 52.00266213559048 0, -9.731027964735288 52.00166381218246 0, -9.731900055442837 52.00131410643025 0, -9.731685227837712 52.00095938163861 0, -9.728064208519632 52.00172388518592 0, -9.726311756460925 52.00293890435728 0, -9.726251119494687 52.00410928802155 0))"
"lake5","true","POLYGON Z ((-9.721596551973516 52.00401143133833 0, -9.722290184741297 52.00309757195403 0, -9.722670649421469 52.00238080300511 0, -9.722990769613453 52.00147704579781 0, -9.723265584335222 52.00057575980412 0, -9.722358037507034 52.00002710895637 0, -9.722549141434056 51.99919863485866 0, -9.721590334201787 51.99890460383846 0, -9.72135643153789 51.99845349867719 0, -9.720275307173347 51.99835260707617 0, -9.719310419463605 51.99840182306485 0, -9.718649859256113 51.99856240869594 0, -9.718631376666574 51.99905055311413 0, -9.718911448247582 51.99948040912891 0, -9.718594984490242 51.99996567943147 0, -9.718597788916094 51.99999088187873 0, -9.718883624401954 52.00025286261807 0, -9.718621523534734 52.00089570183132 0, -9.718140125568834 52.00159303779734 0, -9.718713926924044 52.00195180161415 0, -9.718034566151877 52.0024795348496 0, -9.718602353051184 52.0044434237431 0, -9.720295314072514 52.00437509220199 0, -9.721596551973516 52.00401143133833 0))"
"lake3","true","POLYGON Z ((-9.698685706933668 52.00365288655097 0, -9.697342627105325 52.0030409224699 0, -9.69698120831479 52.00216161026475 0, -9.696067903100364 52.00173686034529 0, -9.694991101545181 52.0012058704376 0, -9.693577306706251 52.00157021836792 0, -9.6944641885314 52.00292191511457 0, -9.695893597895495 52.00396121874016 0, -9.696714309824232 52.00419957043482 0, -9.698401903754121 52.0040240987536 0, -9.698685706933668 52.00365288655097 0))"
"lake4","true","POLYGON Z ((-9.709229465204844 51.99526356015805 0, -9.709814917302914 51.99538010858663 0, -9.710278398515964 51.99533459380705 0, -9.709867083025316 51.99484928680598 0, -9.709233675286606 51.9947753544575 0, -9.709229465204844 51.99526356015805 0))"
"lake2","true","POLYGON Z ((-9.684930344140898 51.99321916608652 0, -9.682820523665791 51.99358146984018 0, -9.684902115910925 51.99521449434324 0, -9.686302908214376 51.99517526369101 0, -9.686318136300489 51.9948366926278 0, -9.68652343447473 51.99462555082724 0, -9.686473484623935 51.99417367178118 0, -9.68628910882066 51.99350295711834 0, -9.684930344140898 51.99321916608652 0))"
"lake1","true","POLYGON Z ((-9.69439913556208 51.98521449046431 0, -9.697003245443472 51.98634628536423 0, -9.698173089427026 51.98551829177708 0, -9.695575382490498 51.98400513416112 0, -9.693349973196135 51.98394577034947 0, -9.69439913556208 51.98521449046431 0))"
